Date,Open,High,Low,Close,Adj Close,Volume
3/16/2018,2236.5,2236.5,2236.5,2236.5,2236.5,0
3/19/2018,2385,2385,2385,2385,2385,0
3/20/2018,2376,2376,2349,2349,2349,1
3/21/2018,2349,2349,2349,2349,2349,0
3/22/2018,2349,2349,2349,2349,2349,0
3/23/2018,2349,2349,2349,2349,2349,0
3/26/2018,2479.5,2479.5,1921.5,1921.5,1921.5,1
3/27/2018,1921.5,1921.5,1921.5,1921.5,1921.5,0
3/28/2018,1921.5,1921.5,1921.5,1921.5,1921.5,0
3/29/2018,1921.5,1921.5,1921.5,1921.5,1921.5,0
4/2/2018,1921.5,1921.5,1921.5,1921.5,1921.5,0
4/3/2018,1921.5,1921.5,1921.5,1921.5,1921.5,0
4/4/2018,1921.5,1921.5,1921.5,1921.5,1921.5,0
4/5/2018,1921.5,1921.5,1921.5,1921.5,1921.5,0
4/6/2018,1917,1917,1917,1917,1917,0
4/9/2018,1917,1917,1917,1917,1917,0
4/10/2018,1917,1917,1917,1917,1917,0
4/11/2018,1917,1917,1917,1917,1917,0
4/12/2018,1917,1917,1917,1917,1917,0
4/13/2018,1917,1917,1917,1917,1917,0
4/16/2018,1917,1917,1917,1917,1917,0
4/17/2018,1917,1917,1917,1917,1917,0
4/18/2018,1674,1674,1674,1674,1674,0
4/19/2018,1674,1674,1674,1674,1674,0
4/20/2018,1579.5,1579.5,1579.5,1579.5,1579.5,2
4/23/2018,1552.5,1552.5,1534.5,1534.5,1534.5,0
4/24/2018,1534.5,1534.5,1534.5,1534.5,1534.5,0
4/25/2018,1534.5,1534.5,1534.5,1534.5,1534.5,0
4/26/2018,1408.5,1408.5,1408.5,1408.5,1408.5,0
4/27/2018,1336.5,1336.5,1278,1278,1278,0
4/30/2018,1260,1377,1260,1377,1377,3
5/1/2018,1494,1494,1458,1489.5,1489.5,3
5/2/2018,1282.5,1282.5,1242,1242,1242,2
5/3/2018,1233,1233,1233,1233,1233,0
5/4/2018,1233,1233,1233,1233,1233,0
5/7/2018,1246.5,1246.5,1246.5,1246.5,1246.5,1
5/8/2018,1246.5,1246.5,1246.5,1246.5,1246.5,0
5/9/2018,1233,1233,1215,1215,1215,3
5/10/2018,1152,1152,994.5,994.5,994.5,1
5/11/2018,1008,1008,994.5,994.5,994.5,1
5/14/2018,994.5,994.5,994.5,994.5,994.5,1
5/15/2018,963,1039.5,963,1039.5,1039.5,0
5/16/2018,796.5,796.5,765,765,765,2
5/17/2018,765,765,765,765,765,0
5/18/2018,634.5,634.5,634.5,634.5,634.5,1
5/21/2018,796.5,796.5,796.5,796.5,796.5,0
5/22/2018,571.5,661.5,571.5,607.5,607.5,3
5/23/2018,549,549,549,549,549,2
5/24/2018,630,630,450,450,450,3
5/25/2018,549,549,531,531,531,1
5/29/2018,531,531,531,531,531,6
5/30/2018,562.5,571.5,562.5,567,567,2
5/31/2018,544.5,544.5,544.5,544.5,544.5,3
6/1/2018,544.5,544.5,544.5,544.5,544.5,2
6/4/2018,603,603,585,585,585,0
6/5/2018,585,585,585,585,585,0
6/6/2018,589.5,589.5,567,567,567,1
6/7/2018,567,567,567,567,567,0
6/8/2018,490.5,567,490.5,567,567,3
6/11/2018,580.5,580.5,535.5,535.5,535.5,4
6/12/2018,517.5,517.5,517.5,517.5,517.5,2
6/13/2018,535.5,702,445.5,477,477,8
6/14/2018,675,675,463.5,463.5,463.5,3
6/15/2018,504,504,495,495,495,1
6/18/2018,495,513,495,513,513,2
6/19/2018,441,508.5,382.5,441,441,5
6/20/2018,441,441,441,441,441,0
6/21/2018,427.5,427.5,369,369,369,2
6/22/2018,423,567,400.5,400.5,400.5,4
6/25/2018,472.5,472.5,472.5,472.5,472.5,6
6/26/2018,427.5,427.5,427.5,427.5,427.5,2
6/27/2018,445.5,463.5,445.5,445.5,445.5,16
6/28/2018,450,468,445.5,445.5,445.5,20
6/29/2018,432,445.5,432,445.5,445.5,4
7/2/2018,382.5,405,382.5,405,405,6
7/3/2018,454.5,468,454.5,468,468,27
7/5/2018,472.5,472.5,441,441,441,5
7/6/2018,441,441,441,441,441,0
7/9/2018,441,441,441,441,441,0
7/10/2018,481.5,481.5,481.5,481.5,481.5,0
7/11/2018,607.5,607.5,607.5,607.5,607.5,1
7/12/2018,504,504,504,504,504,0
7/13/2018,540,540,540,540,540,3
7/16/2018,522,540,522,540,540,9
7/17/2018,553.5,553.5,486,486,486,7
7/18/2018,553.5,553.5,553.5,553.5,553.5,11
7/19/2018,553.5,553.5,553.5,553.5,553.5,0
7/20/2018,553.5,553.5,553.5,553.5,553.5,0
7/23/2018,562.5,729,562.5,607.5,607.5,2
7/24/2018,522,522,522,522,522,0
7/25/2018,594,594,540,540,540,3
7/26/2018,558,558,558,558,558,0
7/27/2018,558,558,558,558,558,0
7/30/2018,585,585,391.5,391.5,391.5,93
7/31/2018,540,540,540,540,540,2
8/1/2018,522,657,436.5,450,450,8
8/2/2018,445.5,445.5,445.5,445.5,445.5,4
8/3/2018,445.5,445.5,445.5,445.5,445.5,0
8/6/2018,337.5,337.5,337.5,337.5,337.5,1
8/7/2018,337.5,337.5,337.5,337.5,337.5,0
8/8/2018,526.5,562.5,513,544.5,544.5,17
8/9/2018,531,531,531,531,531,5
8/10/2018,450,450,450,450,450,0
8/13/2018,508.5,508.5,450,450,450,5
8/14/2018,436.5,454.5,436.5,454.5,454.5,2
8/15/2018,517.5,567,427.5,499.5,499.5,55
8/16/2018,549,549,540,540,540,3
8/17/2018,585,612,571.5,612,612,29
8/20/2018,630,630,567,567,567,15
8/21/2018,612,630,585,612,612,43
8/22/2018,603,621,603,616.5,616.5,1
8/23/2018,576,580.5,495,504,504,11
8/24/2018,526.5,576,526.5,576,576,1
8/27/2018,576,576,567,567,567,0
8/28/2018,567,567,553.5,553.5,553.5,2
8/29/2018,540,558,495,558,558,6
8/30/2018,495,495,486,495,495,5
8/31/2018,472.5,531,463.5,531,531,2
9/4/2018,499.5,499.5,490.5,490.5,490.5,0
9/5/2018,522,522,504,513,513,4
9/6/2018,540,585,540,571.5,571.5,5
9/7/2018,513,544.5,513,544.5,544.5,7
