Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,317.929993,322.769989,317.040009,321.880005,320.635101,24040000
2023-08-22,325.500000,326.079987,321.459991,322.459991,321.212830,16102000
2023-08-23,323.820007,329.200012,323.459991,327.000000,325.735291,21166400
2023-08-24,332.850006,332.980011,319.959991,319.970001,318.732483,23281400
2023-08-25,321.470001,325.359985,318.799988,322.980011,321.730835,21684100
2023-08-28,325.660004,326.149994,321.720001,323.700012,322.448059,14808500
2023-08-29,321.880005,328.980011,321.880005,328.410004,327.139832,19284600
2023-08-30,328.670013,329.809998,326.450012,328.790009,327.518372,15222100
2023-08-31,329.200012,330.910004,326.779999,327.760010,326.492371,26411000
2023-09-01,331.309998,331.989990,326.779999,328.660004,327.388855,14931200
2023-09-05,329.000000,334.850006,328.660004,333.549988,332.259918,18553900
2023-09-06,333.380005,334.459991,330.179993,332.880005,331.592560,17535800
2023-09-07,331.290009,333.079987,329.029999,329.910004,328.634033,18381000
2023-09-08,330.089996,336.160004,329.459991,334.269989,332.977142,19530100
2023-09-11,337.239990,338.420013,335.429993,337.940002,336.632965,16583300
2023-09-12,335.820007,336.790009,331.480011,331.769989,330.486816,17565500
2023-09-13,331.309998,336.850006,331.170013,336.059998,334.760254,16544400
2023-09-14,339.149994,340.859985,336.570007,338.700012,337.390015,20267000
2023-09-15,336.920013,337.399994,329.649994,330.220001,328.942810,37666900
2023-09-18,327.799988,330.399994,326.359985,329.059998,327.787292,16834200
2023-09-19,326.170013,329.390015,324.510010,328.649994,327.378876,16505900
2023-09-20,329.510010,329.589996,320.510010,320.769989,319.529388,21436500
2023-09-21,319.260010,325.350006,315.000000,319.529999,318.294189,35529500
2023-09-22,321.320007,321.450012,316.149994,317.010010,315.783936,21447900
2023-09-25,316.589996,317.670013,315.000000,317.540009,316.311890,17836000
2023-09-26,315.130005,315.880005,310.019989,312.140015,310.932770,26297600
2023-09-27,312.299988,314.299988,309.690002,312.790009,311.580231,19410100
2023-09-28,310.989990,315.480011,309.450012,313.640015,312.426971,19683600
2023-09-29,317.750000,319.470001,314.980011,315.750000,314.528809,24140300
2023-10-02,316.279999,321.890015,315.179993,321.799988,320.555389,20570000
2023-10-03,320.829987,321.390015,311.209991,313.390015,312.177917,21033500
2023-10-04,314.029999,320.040009,314.000000,318.959991,317.726379,20720100
2023-10-05,319.089996,319.980011,314.899994,319.359985,318.124817,16965600
2023-10-06,316.549988,329.190002,316.299988,327.260010,325.994293,25645500
2023-10-09,324.750000,330.299988,323.179993,329.820007,328.544373,19891200
2023-10-10,330.959991,331.100006,327.670013,328.390015,327.119934,20557100
2023-10-11,331.209991,332.820007,329.140015,332.420013,331.134338,20063200
2023-10-12,330.570007,333.630005,328.720001,331.160004,329.879211,19313100
2023-10-13,332.380005,333.829987,326.359985,327.730011,326.462494,21072400
2023-10-16,331.049988,336.140015,330.600006,332.640015,331.353485,22158000
2023-10-17,329.589996,333.459991,327.410004,332.059998,330.775696,18338500
2023-10-18,332.489990,335.589996,328.299988,330.109985,328.833252,23153600
2023-10-19,332.149994,336.880005,330.910004,331.320007,330.038574,25052100
2023-10-20,331.720001,331.920013,325.450012,326.670013,325.406586,25012600
2023-10-23,325.470001,332.730011,324.390015,329.320007,328.046326,24374700
2023-10-24,331.299988,331.839996,327.600006,330.529999,329.251648,31153600
2023-10-25,345.019989,346.200012,337.619995,340.670013,339.352448,55053800
2023-10-26,340.540009,341.630005,326.940002,327.890015,326.621857,37828500
2023-10-27,330.429993,336.720001,328.399994,329.809998,328.534424,29856500
2023-10-30,333.410004,339.450012,331.829987,337.309998,336.005402,22828100
2023-10-31,338.850006,339.000000,334.690002,338.109985,336.802307,20265300
2023-11-01,339.790009,347.420013,339.649994,346.070007,344.731537,28158800
2023-11-02,347.239990,348.829987,344.769989,348.320007,346.972839,24348100
2023-11-03,349.630005,354.390015,347.329987,352.799988,351.435486,23624000
2023-11-06,353.450012,357.540009,353.350006,356.529999,355.151062,23828300
2023-11-07,359.399994,362.459991,357.630005,360.529999,359.135620,25833900
2023-11-08,361.679993,363.869995,360.549988,363.200012,361.795288,26767800
2023-11-09,362.299988,364.790009,360.359985,360.690002,359.294983,24847300
2023-11-10,361.489990,370.100006,361.070007,369.670013,368.240265,28042100
2023-11-13,368.220001,368.470001,365.899994,366.679993,365.261810,19986500
2023-11-14,371.010010,371.950012,367.350006,370.269989,368.837921,27683900
2023-11-15,371.279999,373.130005,367.109985,369.670013,368.987671,26860100
2023-11-16,370.959991,376.350006,370.179993,376.170013,375.475677,27182300
2023-11-17,373.609985,374.369995,367.000000,369.850006,369.167328,40157000
2023-11-20,371.220001,378.869995,371.000000,377.440002,376.743317,52465100
2023-11-21,375.670013,376.220001,371.119995,373.070007,372.381378,28423100
2023-11-22,378.000000,379.790009,374.970001,377.850006,377.152557,23345300
2023-11-24,377.329987,377.970001,375.140015,377.429993,376.733307,10176600
2023-11-27,376.779999,380.640015,376.200012,378.609985,377.911133,22179200
2023-11-28,378.350006,383.000000,378.160004,382.700012,381.993622,20453100
2023-11-29,383.760010,384.299988,377.440002,378.850006,378.150696,28963400
2023-11-30,378.489990,380.089996,375.470001,378.910004,378.210602,30554400
2023-12-01,376.760010,378.160004,371.309998,374.510010,373.818726,33020400
2023-12-04,369.100006,369.519989,362.899994,369.140015,368.458649,32063300
2023-12-05,366.450012,373.079987,365.619995,372.519989,371.832367,23065000
2023-12-06,373.540009,374.179993,368.029999,368.799988,368.119232,21182100
2023-12-07,368.230011,371.450012,366.320007,370.950012,370.265289,23118900
2023-12-08,369.200012,374.459991,368.230011,374.230011,373.539246,20144800
2023-12-11,368.480011,371.600006,366.100006,371.299988,370.614624,27708800
2023-12-12,370.850006,374.420013,370.459991,374.380005,373.688965,24838300
2023-12-13,376.019989,377.640015,370.769989,374.369995,373.678955,30955500
2023-12-14,373.309998,373.760010,364.130005,365.929993,365.254547,43277500
2023-12-15,366.850006,372.399994,366.279999,370.730011,370.045715,78478200
2023-12-18,369.450012,373.000000,368.679993,372.649994,371.962128,21802900
2023-12-19,371.489990,373.260010,369.839996,373.260010,372.571045,20603700
2023-12-20,375.000000,376.029999,370.529999,370.619995,369.935883,26316700
2023-12-21,372.559998,374.410004,370.040009,373.540009,372.850525,17708000
2023-12-22,373.679993,375.179993,372.709991,374.579987,373.888580,17091100
2023-12-26,375.000000,376.940002,373.500000,374.660004,373.968445,12673100
